show_num,prize_value_gbp,finalist_1_gender,finalist_2_gender,finalist_1_age_over_40,finalist_2_age_over_40,split_or_steal_finalist_1,split_or_steal_finalist_2,finalist_1_winnings,finalist_2_winnings
1,16600,1,1,1,0,1,0,16600,0
2,5160,1,0,0,0,1,1,0,0
3,4188,1,1,1,1,0,1,0,4188
4,20130,1,0,1,1,0,0,10065,10065
5,3900,0,0,0,1,1,1,0,0
6,8290,0,1,1,0,1,1,0,0
7,23315,0,1,1,1,0,1,0,23315
8,66.25,1,1,0,1,0,1,0,66.25
9,250.25,1,0,1,1,0,0,125.13,125.13
10,1560,0,1,1,0,0,0,780,780
11,15517.50,0,1,1,1,0,1,0,15517.50
12,22975,1,0,1,1,1,1,0,0
13,66.50,1,0,0,0,1,0,66.50,0
14,262,1,0,0,0,0,0,131,131
15,35605,0,1,0,0,0,0,17802.50,17802.50
16,30185,1,1,1,0,0,1,0,30185
17,1250,1,1,0,1,0,0,625,625
18,17400,0,1,0,1,1,0,17400,0
19,3775,1,1,0,0,0,0,1887.50,1887.50
20,15395,0,0,0,1,1,1,0,0
21,87900,0,1,0,1,0,0,43950,43950
22,1830,0,1,0,0,1,0,1830,0
23,5.75,0,1,0,0,0,1,0,5.75
24,19560,0,1,1,1,1,0,19560,0
25,66885,0,1,0,0,1,1,0,0
26,1150,0,1,1,1,0,0,575,575
27,1815,0,0,1,0,0,1,0,1815
28,40015,0,1,1,0,1,0,40015,0
29,3492.50,1,0,1,0,1,0,3492.50,0
30,26500,1,0,1,1,0,1,0,26500
31,1375,0,0,0,0,0,1,0,1375
32,11120,1,0,0,0,0,0,5560,5560
33,175,1,0,0,0,0,0,87.50,87.50
34,5200,0,1,1,1,1,0,5200,0
35,1305,1,0,1,0,0,0,652.50,652.50
36,1049,1,1,1,1,1,0,1049,0
37,61060,1,1,0,1,0,1,0,61060
38,2510,1,0,1,0,1,1,0,0
39,38950,1,0,0,0,0,0,19475,19475